ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs,URL_OpenFoodFacts,Date_Collecte,Notes,Classe_ELECTRE_Pessimiste_06,Classe_ELECTRE_Optimiste_06,Classe_ELECTRE_Pessimiste_07,Classe_ELECTRE_Optimiste_07,Classe_SuperNutriScore
100,Soya Wholebean Unsweetened Drink U.H.T.,Alpro,5411188079996,Boisson lactée,138.0,33.0,0.3,0.0,35.0,0.087,3.3,0.6,0,-5,B,80.0,A,NON,2,"e340, e418",https://world.openfoodfacts.org/product/5411188079996/soya-wholebean-unsweetened-drink-u-h-t-alpro,2025-10-17,,,,,,
101,Original,ColaCao,8410014478764,Soda,1581.0,378.0,1.6,70.0,40.0,0.1,6.6,7.8,0,8,D,66.0,B,NON,0,,https://world.openfoodfacts.org/product/8410014478764/original-colacao,2025-10-17,,,,,,
102,"PET 1,5L SCHWEPPES AGRUMES",Schweppes,3124480196262,Soda,81.0,19.0,0.0,4.4,4.0,0.01,0.0,0.0,0,8,D,,NOT-APPLICABLE,NON,7,"e14xx, e202, e300, e330, e445, e950, e955",https://world.openfoodfacts.org/product/3124480196262/agrumes-schweppes,2025-10-17,,,,,,
103,Bebida de Avena Calcio y Vitaminas,Hacendado,8480000861672,Autre boisson,219.0,52.0,2.0,3.6,46.0,0.115,0.5,0.56,0,8,D,52.0,C,NON,2,"e415, e418",https://world.openfoodfacts.org/product/8480000861672/bebida-de-avena-calcio-y-vitaminas-hacendado,2025-10-17,,,,,,
104,Bebida de Soja,Hacendado,8480000136824,Autre boisson,147.0,35.0,0.3,0.7,64.0,0.16,3.4,0.7,0,0,B,80.0,A,NON,3,"e418, e950, e955",https://world.openfoodfacts.org/product/8480000136824/bebida-de-soja-hacendado,2025-10-17,,,,,,
105,Coca-Cola saveur cerise,Coca-Cola,5449000214843,Soda,182.0,43.0,0.0,10.7,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,2,"e150d, e338",https://world.openfoodfacts.org/product/5449000214843/coca-cola-saveur-cerise,2025-10-17,,,,,,
106,yogo fraise,extra lait,6111242071940,Boisson lactée,398.0,95.0,2.44,35.24,220.0,0.55,1.99,6.3,0,18,E,18.0,E,NON,0,,https://world.openfoodfacts.org/product/6111242071940/yogo-fraise-extra-lait,2025-10-17,,,,,,
107,Jutos,Jaouda تبارك وتعالى,6111242106932,Jus de fruits,188.0,45.0,0.0,10.7,200.0,0.5,0.0,6111242106933.0,0,9,D,21.0,E,NON,3,"e160a, e160ai, e330",https://world.openfoodfacts.org/product/6111242106932/jutos-jaouda-%D8%AA%D8%A8%D8%A7%D8%B1%D9%83-%D9%88%D8%AA%D8%B9%D8%A7%D9%84%D9%89,2025-10-17,,,,,,
108,Orangina 50cl,Orangina,8435185100955,Soda,184.0,43.0,0.0,10.1,0.0,0.0,0.1,0.0,0,10,E,,NOT-APPLICABLE,NON,2,"e202, e330",https://world.openfoodfacts.org/product/8435185100955/orangina-50cl,2025-10-17,,,,,,
109,No Sugars Oat Drink,Oatly,7394376620867,Boisson lactée,184.0,44.0,0.2,0.0,47.0,0.117,1.0,0.7,0,3,C,52.0,C,NON,2,"e340, e340ii",https://world.openfoodfacts.org/product/7394376620867/no-sugars-oat-drink-oatly,2025-10-17,,,,,,
110,"CRISTALINE Eau de Source Pétillante 0,5L",Cristaline,3254381016922,Eau,0.0,0.0,0.0,0.0,8.4,0.021,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3254381016922/cristaline-eau-de-source-petillante-0-5l,2025-10-17,,,,,,
111,Pur jus de citron,"Jardin bio, Léa Nature",3456300002508,Jus de fruits,133.0,31.0,0.2,1.7,0.0,0.0,0.0,0.0,0,-3,B,54.0,C,OUI,0,,https://world.openfoodfacts.org/product/3456300002508/pur-jus-de-citron-jardin-bio,2025-10-17,,,,,,
112,Kéfir natural,Hacendado,8480000156624,Thé,151.0,36.0,0.0,0.0,0.0,0.0,3.92,0.0,0,-4,B,,UNKNOWN,NON,0,,https://world.openfoodfacts.org/product/8480000156624/kefir-0-natural-hacendado,2025-10-17,,,,,,
113,Limonada natural,Don Simón,8410261657424,Soda,96.0,23.0,0.0,5.6,4.0,0.01,0.1,0.0,0,6,C,,NOT-APPLICABLE,NON,3,"e160a, e160ai, e300",https://world.openfoodfacts.org/product/8410261657424/limonada-natural-don-simon,2025-10-17,,,,,,
114,Red Bull Sugarfree,Red Bull,90162800,Boisson énergisante,13.0,3.0,0.0,0.0,42.0,0.105,0.0,0.0,0,4,C,,NOT-APPLICABLE,NON,11,"e101, e101i, e150a, e290, e330, e415, e500, e504, e504i, e950, e951",https://world.openfoodfacts.org/product/90162800/red-bull-sugarfree,2025-10-17,,,,,,
115,Oat Milk,Actileaf,4061459290349,Boisson lactée,206.0,49.2,0.2,4.6,40.0,0.1,1.32,0.8,0,5,C,66.0,B,NON,0,,https://world.openfoodfacts.org/product/4061459290349/oat-milk-actileaf,2025-10-17,,,,,,
116,Schweppes citron 45cl,Schweppes,5449000318947,Soda,82.0,19.2,0.0,11.0,0.0,0.0,0.0,0.0,0,14,E,,NOT-APPLICABLE,NON,5,"e211, e330, e414, e950, e951",https://world.openfoodfacts.org/product/5449000318947/schweppes-citron-45cl,2025-10-17,,,,,,
117,Avoine,Carrefour,3245413451804,Boisson lactée,182.0,43.0,0.2,5.0,32.0,0.08,0.5,0.8,0,6,C,83.0,A,OUI,0,,https://world.openfoodfacts.org/product/3245413451804/lait-d-avoine-carrefour,2025-10-17,,,,,,
118,Super Smoothie Antioxydant,Innocent,5038862234115,Jus de fruits,230.0,54.0,0.1,11.0,40.0,0.1,0.5,1.1,0,7,D,39.0,D,NON,0,,https://world.openfoodfacts.org/product/5038862234115/super-smoothie-antioxydant-innocent,2025-10-17,,,,,,
119,Boisson au soja,Vemondo,4056489695387,Boisson lactée,133.0,32.0,0.2,0.4,32.0,0.08,3.0,0.2,0,-4,B,99.0,A-PLUS,OUI,0,,https://world.openfoodfacts.org/product/4056489695387/boisson-au-soja-vemondo,2025-10-17,,,,,,
120,alpro sabor natural con coco,Alpro,5411188139126,Thé,231.0,55.0,1.1,2.1,128.0,0.32,3.9,0.8,0,1,B,43.0,D,NON,5,"e304, e306, e330, e331, e440",https://world.openfoodfacts.org/product/5411188139126/alpro-sabor-natural-con-coco,2025-10-17,,,,,,
121,Lait Amande calcium,"Bio Village, Marque Repère",3564707117203,Boisson lactée,106.0,26.0,0.2,0.5,40.0,0.1,0.7,0.5,0,2,B,84.0,A,OUI,0,,https://world.openfoodfacts.org/product/3564707117203/lait-amande-sans-sucres-bio-village,2025-10-17,,,,,,
122,Evian 75cl PET,Evian,3068320014067,Eau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3068320014067/evian-natural-mineral-water-2yrs-prod,2025-10-17,,,,,,
123,Apple & Raisin Oat Bar,Deliciously Ella,5060482840209,Thé,1784.0,426.0,9.5,29.0,116.0,0.29,5.6,4.9,0,12,E,29.0,E,NON,0,,https://world.openfoodfacts.org/product/5060482840209/apple-raisin-oat-bar-deliciously-ella,2025-10-17,,,,,,
124,Eau minérale,Volvic,3057640265358,Eau,0.0,0.0,0.0,0.0,12.0,0.03,0.0,0.0,0,0,A,,NOT-APPLICABLE,NON,0,,https://world.openfoodfacts.org/product/3057640265358/eau-minerale-volvic,2025-10-17,,,,,,
